iter	Passed	Remaining
0	9	9007
1	17	8513
2	24	8291
3	33	8332
4	42	8480
5	52	8626
6	61	8775
7	70	8781
8	80	8867
9	89	8834
10	97	8779
11	106	8744
12	114	8705
13	122	8636
14	130	8600
15	138	8548
16	147	8514
17	155	8486
18	164	8472
19	172	8439
20	181	8450
21	189	8435
22	197	8407
23	206	8402
24	215	8404
25	224	8391
26	232	8361
27	240	8353
28	249	8340
29	257	8329
30	265	8311
31	274	8309
32	283	8295
33	292	8307
34	301	8317
35	310	8308
36	318	8290
37	326	8276
38	335	8268
39	343	8252
40	352	8237
41	360	8216
42	368	8206
43	376	8184
44	385	8171
45	393	8167
46	402	8156
47	411	8165
48	420	8159
49	429	8159
50	438	8155
51	446	8138
52	455	8130
53	463	8112
54	471	8100
55	479	8088
56	488	8085
57	496	8068
58	505	8067
59	514	8056
60	522	8042
61	531	8044
62	539	8029
63	548	8020
64	556	8003
65	565	8008
66	576	8023
67	586	8042
68	596	8053
69	605	8042
70	615	8052
71	624	8045
72	633	8043
73	641	8029
74	650	8017
75	658	8007
76	666	7993
77	675	7980
78	683	7968
79	692	7964
80	700	7949
81	710	7952
82	719	7948
83	729	7950
84	737	7944
85	746	7931
86	754	7922
87	763	7910
88	772	7907
89	781	7901
90	790	7891
91	797	7875
92	806	7864
93	815	7864
94	825	7861
95	834	7857
96	843	7850
97	852	7843
98	861	7838
99	869	7828
100	877	7812
101	886	7801
102	893	7785
103	902	7775
104	911	7773
105	920	7764
106	928	7750
107	937	7742
108	945	7729
109	953	7717
110	962	7706
111	970	7695
112	979	7687
113	987	7673
114	995	7664
115	1003	7650
116	1012	7639
117	1020	7626
118	1028	7614
119	1036	7604
120	1045	7593
121	1053	7581
122	1061	7570
123	1069	7558
124	1078	7547
125	1087	7541
126	1095	7531
127	1103	7520
128	1112	7508
129	1120	7498
130	1128	7489
131	1137	7478
132	1146	7471
133	1155	7465
134	1163	7456
135	1171	7443
136	1180	7435
137	1188	7421
138	1196	7410
139	1204	7400
140	1213	7392
141	1221	7380
142	1229	7370
143	1237	7358
144	1246	7347
145	1254	7335
146	1262	7324
147	1270	7313
148	1278	7301
149	1286	7292
150	1294	7279
151	1302	7269
152	1311	7258
153	1319	7246
154	1327	7235
155	1335	7224
156	1343	7213
157	1351	7202
158	1359	7192
159	1367	7180
160	1376	7174
161	1386	7170
162	1394	7160
163	1402	7149
164	1410	7139
165	1419	7130
166	1427	7122
167	1436	7112
168	1445	7108
169	1454	7101
170	1462	7091
171	1472	7086
172	1479	7074
173	1488	7065
174	1496	7054
175	1505	7047
176	1514	7042
177	1522	7031
178	1530	7020
179	1538	7010
180	1547	7002
181	1555	6991
182	1564	6982
183	1572	6971
184	1581	6967
185	1590	6959
